(find c/textseg_sizes | xargs cat),   (find c/instruction_counts | xargs cat)
file4767,910186277
file4768,1640996328
file4773,1236003093
file4775,1038983705
file4774,772135490
file4772,759358095
file4776,1254069247
file4778,743461761
file4781,735525050
file4779,854108250
file4780,923503440
file4777,990182412
file4784,938663755
file4782,711396985
file4783,966752858
file4756,3064249883
file4752,4089138904
file4736,4161148246
file4789,973160829
file4792,816042980
file4786,746993409
file4795,839615128
file4793,793739369
file4791,873208553
file4785,1690016094
file4800,657498430
file4788,2194120900
file4797,1986086897
file4794,784947669
file4799,936617366
file4796,710004965
file4790,769307913
file4798,848470855
file4787,2395259134
file4763,15243270371
file4733,13893537570
file4750,12832431325
file4751,22492074985
file4769,25702950035
file8185,761135175
file8164,765404346
file8169,808621453
file8163,1251705819
file8172,821813892
file8165,901591074
file8167,868019853
file8162,1071629599
file8168,903758096
file8171,982908338
file8170,1465934920
file8174,978588978
file8175,1070268131
file8173,814897004
file8178,810205290
file8182,845373498
file8179,766134219
file8176,987177178
file8187,794495438
file8184,846420071
file8166,1006471294
file8180,812127722
file8186,836113872
file8194,1139503748
file8189,1001091539
file8193,907521728
file8188,899360373
file8192,916313979
file8190,837902765
file8197,866933204
file8195,952098278
file8191,1148500852
file8200,789987840
file8201,946356315
file8202,1226502833
file8203,1026861298
file8204,934925030
file8199,803647037
file8198,1526280925
file8196,1070959860
file8207,938544135
file8209,756550191
file8211,1078950649
file8212,1097353527
file8210,818863235
file8208,781337645
file8206,781649798
file8214,925760154
file8205,814751100
file8218,825327832
file8220,780856802
file8219,919759474
file8216,820444386
file8222,809747803
file8221,787326890
file8223,1265438801
file8213,1068677699
file8217,1028638161
file8215,1050229151
file8161,3978428605
file8230,736062983
file8232,942417920
file8177,1847266930
file8231,678686239
file8239,1175587434
file8229,1004079640
file8234,744261191
file8228,1602044857
file8183,3811993019
file8225,1057573738
file8233,1547674678
file8226,891466571
file8240,658386378
file8224,3657115183
file8235,787525817
file8181,3510126900
file8238,2157579061
file8236,2301231365
file8237,2531940784
file8227,34792683306
file12408,776610274
file12402,751870697
file12404,783243718
file12405,850670196
file12407,927868400
file12403,962696710
file12409,889989184
file12413,801551131
file12414,968043477
file12418,773589662
file12419,890796833
file12411,1098853839
file12406,788087980
file12420,871048661
file12423,837308170
file12424,973666531
file12425,847799999
file12426,753440630
file12428,879786049
file12429,894744224
file12410,1090158828
file12431,833142224
file12433,972063514
file12437,992851512
file12439,862319198
file12427,798987084
file12441,1128012625
file12442,754273504
file12443,772806594
file12440,790512520
file12445,776962224
file12446,868332456
file12447,789564119
file12449,822107642
file12452,963423358
file12453,861356554
file12454,925425253
file12455,749662935
file12456,808044303
file12458,819427394
file12461,838518683
file12462,766728278
file12463,924204898
file12448,867831420
file12401,1074709127
file12438,1898399482
file12422,1021156995
file12416,1282698404
file12436,1585626249
file12457,1739273237
file12435,1311045686
file12417,1161965349
file12450,1879005173
file12421,3166821126
file12451,1413494797
file12432,1589072586
file12415,3795565286
file12467,798034791
file12476,701427594
file12460,2153323226
file12412,2221912215
file12465,938936984
file12466,659052236
file12430,2783692210
file12459,2188469901
file12464,5575009703
file12434,2218570801
file12472,819973967
file12471,740366433
file12444,5092125662
file12474,739930515
file12477,709942259
file12478,1118281834
file12475,727145815
file12473,873496228
file12480,2240777224
file12468,3412198026
file12479,1392383485
file12469,13040215600
file12470,28478719126
file16685,789318775
file16645,807804827
file16646,806413337
file16644,826750859
file16642,906774936
file16648,814745087
file16649,890939784
file16655,795588245
file16651,921168279
file16647,824000855
file16653,924013248
file16641,1151360010
file16657,803661292
file16660,774621239
file16658,827639020
file16664,835205206
file16659,767045705
file16666,808580613
file16663,1071335510
file16665,891696569
file16667,874589168
file16668,894650090
file16670,971514854
file16662,1296747429
file16672,859902635
file16643,1268103565
file16675,831922341
file16674,908382145
file16673,974652011
file16676,1792578688
file16650,1163839681
file16680,904100685
file16677,1354135089
file16681,909337251
file16682,996089655
file16684,1117943991
file16654,1555342282
file16686,877659276
file16656,2250868318
file16687,784226997
file16688,872514853
file16693,1796964816
file16691,816513702
file16692,832154170
file16690,861412308
file16695,805263025
file16696,806325463
file16697,868259628
file16694,794070573
file16700,802966846
file16699,1066704602
file16698,989296358
file16702,870751658
file16689,1525448403
file16704,812152925
file16652,2868069250
file16703,1116426055
file16669,1589027978
file16706,680141747
file16707,897272508
file16709,776257661
file16705,1429879357
file16717,979523666
file16714,1039961944
file16678,6440727101
file16716,706903317
file16708,912948298
file16712,748045894
file16713,772853951
file16710,770061878
file16718,1194891863
file16711,1448728081
file16720,1402887357
file16683,3893412339
file16719,7243197951
file16661,18161304843
file16671,26691064506
file16715,28177633111
file16701,34442169511
file16679,126290856839
file27204,809411992
file27213,826221477
file27201,790585884
file27215,778505379
file27217,784138581
file27237,801104058
file27221,830854682
file27216,872845891
file27202,834448100
file27226,807433516
file27205,841083959
file27224,1424055210
file27225,889708574
file27228,801852087
file27212,831815174
file27229,801632824
file27230,919992545
file27232,1108214230
file27233,788040705
file27234,947423168
file27210,872174702
file27238,942987500
file27236,1095586645
file27241,802780014
file27214,870367821
file27220,1224136499
file27211,1461005222
file27244,761990872
file27243,806879055
file27245,1095925508
file27246,869680344
file27253,790864190
file27256,793388048
file27248,1173537973
file27247,955664691
file27255,3161427458
file27258,825376118
file27254,1103256613
file27259,811299455
file27209,1005178817
file27263,824446271
file27260,962822069
file27249,1122143085
file27223,1091469981
file27262,801069301
file27240,1105974744
file27239,2540829849
file27242,1117800743
file27251,1389742845
file27257,2569989800
file27206,2500508576
file27252,1300788151
file27218,2727937727
file27219,1622609603
file27265,679352480
file27270,718409430
file27269,722027955
file27266,801119817
file27235,1522041488
file27274,678499827
file27272,706915248
file27203,1833264185
file27268,819304774
file27273,644960110
file27207,2296795352
file27275,688908455
file27271,925413433
file27276,741080521
file27267,1537522221
file27279,763560754
file27231,2906896208
file27280,683272130
file27250,2663091073
file27277,939910635
file27264,3205719263
file27278,1698305018
file27261,4170632467
file27208,9233139399
file27227,12594178890
file27222,25530359119
file30891,744593038
file30882,801100628
file30884,792110411
file30881,816182661
file30885,798115480
file30886,962557936
file30889,771183333
file30895,774948286
file30896,864924102
file30898,824722510
file30892,764243726
file30900,971298925
file30902,811193119
file30906,837502470
file30908,839009760
file30913,748774125
file30915,818108138
file30894,770470084
file30918,766128148
file30917,994336749
file30901,862819243
file30888,809360298
file30905,756807155
file30921,920007193
file30922,950381079
file30925,796602628
file30926,785688267
file30919,833516744
file30903,1109641834
file30920,1000363167
file30928,756414800
file30929,952240968
file30933,742890624
file30934,826173729
file30887,1028604350
file30938,820779010
file30936,866507853
file30931,763167302
file30942,758942052
file30943,866558065
file30944,857629264
file30932,753636196
file30941,1210418154
file30940,839343079
file30927,1147041506
file30939,1109775650
file30909,1241885722
file30935,1095571524
file30893,1324633668
file30923,1011659795
file30897,1051418273
file30914,1372824524
file30916,1044893010
file30904,1297473494
file30883,1666334061
file30912,1088027922
file30937,1383691379
file30930,1451809312
file30924,1505425741
file30907,2472110768
file30890,1942719210
file30950,773618307
file30945,662618550
file30949,1044474563
file30953,738303951
file30954,760051026
file30910,2628950207
file30946,740669545
file30947,779622986
file30960,917155666
file30958,660840786
file30956,797416865
file30951,666004627
file30955,1101501047
file30952,707743799
file30948,836596925
file30957,1085289483
file30959,1252913410
file30899,9877265138
file30911,41511444626
file328,782839266
file332,778114896
file344,731725431
file326,739049313
file335,767671089
file333,758273029
file322,865760963
file336,806034968
file331,867484739
file337,756629157
file327,857674048
file340,808206920
file338,783138413
file343,806634920
file321,921982365
file323,821294564
file324,862078194
file341,834400755
file345,772776084
file339,971464052
file346,805713350
file351,774296539
file349,798970131
file350,828763688
file352,740083275
file334,1123185983
file347,1371676017
file353,1057653221
file330,1156140586
file354,712202050
file355,740582445
file348,1048492619
file356,952931355
file329,1407752650
file325,1289861161
file361,1053386772
file359,804068362
file365,919602138
file362,1672838405
file360,705159181
file357,1595207831
file367,798425293
file364,722862353
file366,816446552
file368,864418652
file371,771565525
file370,768031960
file373,1273952661
file372,905785909
file374,731125337
file377,787939596
file363,1750628653
file378,719548706
file376,804550122
file379,1184136352
file382,970363037
file342,2204594872
file384,743030469
file358,3064925536
file383,2124371893
file389,668781659
file375,2572295361
file387,789314460
file388,748203736
file392,734906696
file381,3533342414
file380,3237990878
file393,743381292
file390,834456366
file396,748126072
file385,867854325
file400,2230759593
file394,677644576
file398,690156589
file397,906724103
file399,696569739
file386,1231258649
file391,3714841888
file395,3045603989
file369,729790691552
file197,770095255
file170,812572730
file175,792626906
file168,828711271
file169,852414517
file172,779918325
file171,782997371
file173,847552121
file162,864257055
file174,848948086
file176,879993379
file177,843683101
file178,918897155
file180,809215258
file179,898174074
file182,744318263
file181,832482288
file183,808261214
file184,872225962
file165,1082994294
file185,985782547
file186,852579195
file163,1018567903
file187,747824786
file161,1258787769
file189,817131652
file188,855974857
file190,940812084
file192,746653536
file193,816085149
file191,800836518
file194,1193116858
file195,1170592504
file198,855987741
file200,1965554369
file202,825833052
file203,772395974
file204,1642488788
file196,998183430
file206,750812087
file210,773833050
file207,1398021503
file214,880841935
file215,1876713705
file211,836551263
file205,883670058
file216,1068270534
file213,818199068
file209,972382511
file218,885177555
file220,1056459451
file217,1192430300
file221,1132478852
file223,747911626
file222,1157664431
file167,1978194154
file224,1252997032
file201,1538877332
file212,2362769963
file208,2491046042
file229,847850187
file227,913127898
file226,759298400
file235,742749338
file228,701464806
file166,4575954060
file219,3191387840
file237,742529252
file234,1275382240
file232,670342401
file231,887003699
file233,717152668
file225,1157133235
file239,796336181
file238,710559018
file236,1601545567
file240,2537331455
file230,4031405449
file199,6867068511
file164,8969473846
file4402,808349578
file4404,753909667
file4406,781001738
file4408,830258238
file4420,782681384
file4407,778448042
file4401,834602112
file4417,814066080
file4418,767017469
file4405,933361692
file4414,884650890
file4411,887470932
file4403,870477217
file4410,1064235025
file4412,856668017
file4419,887437473
file4427,791275729
file4424,904192248
file4425,781336791
file4430,768262919
file4431,872929381
file4432,853824250
file4433,756377014
file4436,808498717
file4434,873395010
file4438,858222687
file4439,832825962
file4423,1573762481
file4443,839801811
file4440,749975406
file4422,2121884846
file4442,825957414
file4444,1135966341
file4445,852024221
file4448,1220644571
file4435,1314727991
file4441,1266012073
file4437,1577476509
file4449,777218149
file4450,921226662
file4415,1847457176
file4447,1636404135
file4421,1691447197
file4446,1305940599
file4451,991412671
file4453,762353655
file4428,1250910780
file4452,954931738
file4454,900463824
file4457,1641313818
file4458,799520970
file4456,834700014
file4460,893155222
file4462,892076458
file4461,972065454
file4463,965960527
file4416,2205307986
file4464,785543324
file4459,2065935711
file4426,3731253136
file4472,727857207
file4465,803250648
file4479,718068430
file4469,785341285
file4475,788830707
file4474,713652258
file4466,836737924
file4473,690686691
file4478,688623011
file4471,1383985618
file4470,771206217
file4455,4101146576
file4480,731993224
file4476,1759413783
file4467,1207320805
file4468,1909850189
file4477,5285987141
file4409,11779069294
file4429,12804128682
file4413,14254486668
file6001,758021412
file6002,763208084
file6009,821028919
file6007,784881857
file6014,760130253
file6012,740156061
file6019,788136042
file6013,749617842
file6016,794043127
file6020,864316410
file6021,838019164
file6023,791249466
file6003,974502391
file6004,984018905
file6008,1033334145
file6006,958890557
file6010,988090001
file6024,765586174
file6027,1123444303
file6011,961759226
file6028,1015517468
file6029,864600390
file6018,977417063
file6026,853343164
file6030,802673157
file6031,1023481192
file6033,780628312
file6032,786192165
file6035,823437400
file6036,743845877
file6037,779031864
file6034,755955020
file6039,1840313641
file6038,808861106
file6040,953753075
file6041,811172170
file6043,780558529
file6045,1141143580
file6050,1859251836
file6047,969366266
file6049,1019183012
file6048,880754321
file6051,748200884
file6053,766637101
file6052,823310733
file6055,1006517697
file6056,2021917877
file6059,734773364
file6057,803180555
file6015,2630872217
file6058,758014445
file6062,734605782
file6061,908646375
file6064,1235413415
file6063,737835876
file6044,2682464787
file6025,1635958763
file6017,2368883171
file6054,2311622684
file6071,694695457
file6074,714662301
file6078,684889247
file6068,734662153
file6067,791292760
file6066,1488966495
file6042,3772320663
file6076,800108263
file6073,671359502
file6070,805884451
file6069,1120768536
file6075,764601232
file6080,676663723
file6060,3627962775
file6072,832707644
file6079,695104940
file6077,1192457978
file6046,7030147436
file6005,8894507625
file6065,10604514168
file6022,17287063294
file10846,780528302
file10802,779509849
file10808,772263402
file10804,769374782
file10810,830900399
file10803,870353652
file10813,780602730
file10812,873833376
file10806,914515732
file10814,809213850
file10817,811831479
file10815,814711276
file10818,853391937
file10819,810787436
file10805,1052672865
file10820,849224633
file10811,964836291
file10821,803210614
file10823,776273218
file10824,852641491
file10825,747208604
file10826,1088270096
file10827,878856831
file10828,753181138
file10830,959640179
file10832,785727677
file10801,1375060200
file10835,890306821
file10833,837989460
file10834,834496311
file10836,1149832328
file10829,2294464369
file10837,770772749
file10838,1060773835
file10839,1105978154
file10842,928273126
file10841,851443856
file10845,951876250
file10843,1477186236
file10847,781013871
file10849,1263498969
file10848,1598296443
file10809,2298080026
file10844,946157261
file10816,2425958976
file10850,911143726
file10851,832163243
file10854,1747630723
file10855,820835484
file10857,826099874
file10856,1271731898
file10852,843481046
file10853,2466369432
file10859,972715423
file10858,1069291118
file10864,1035462235
file10863,788424177
file10860,867988894
file10862,782780564
file10822,2099499226
file10861,2810785976
file10877,687740565
file10868,698038524
file10880,677440290
file10869,914686371
file10865,875227259
file10866,683412899
file10871,747169445
file10873,865083563
file10874,676329087
file10870,683933848
file10840,4048526306
file10878,791074626
file10876,851492422
file10875,823063129
file10807,5752839253
file10879,2721018742
file10867,7232323969
file10831,17205296496
file10872,18846525803
file14003,783192047
file14031,780419083
file14010,779448193
file14005,874359514
file14004,924840482
file14006,875346173
file14001,880332459
file14011,1136016321
file14013,777227551
file14008,1037976040
file14015,957511895
file14014,822578630
file14017,1005959427
file14007,1137909650
file14018,1001334126
file14019,767535776
file14021,982826455
file14020,761867272
file14028,886996151
file14024,1137830408
file14027,917610010
file14023,803851576
file14029,821582328
file14030,850602466
file14022,1340653255
file14032,1324149279
file14034,928002795
file14033,818531223
file14036,1083121554
file14035,989805147
file14037,822118404
file14038,857625005
file14016,1336567025
file14039,2454359909
file14042,803153029
file14043,1586818981
file14009,2210409199
file14040,884642023
file14044,778117278
file14041,933681560
file14012,1302886034
file14045,828751690
file14047,867935450
file14049,949255411
file14051,819152081
file14053,1213438394
file14052,1571609193
file14048,815742889
file14054,1036346531
file14056,884124043
file14062,838505584
file14059,940822487
file14063,803791800
file14058,1641602387
file14061,812556486
file14057,761869486
file14046,1699019541
file14026,2316686727
file14055,1852593059
file14064,2295404561
file14077,759458565
file14072,741348704
file14076,723640063
file14068,809265255
file14070,785467121
file14069,978896032
file14074,753027270
file14075,1004153492
file14065,779415503
file14071,987854606
file14067,1406264815
file14002,3417783820
file14078,1429677623
file14079,855269302
file14025,4942361266
file14080,1261278293
file14066,3137185927
file14073,3758228244
file14060,6927383160
file14050,13770247637
file17581,781398049
file17524,871968397
file17521,859733736
file17523,858807721
file17526,897677644
file17529,956273347
file17528,831201835
file17522,917647034
file17530,780700710
file17525,1016927954
file17537,910545488
file17538,823789061
file17531,893797790
file17541,906978971
file17542,1205414435
file17536,1277310618
file17543,841132282
file17532,1171298677
file17533,1909240542
file17544,817083117
file17546,844215479
file17545,832888301
file17540,1361266016
file17550,1016121442
file17548,891415114
file17551,771915432
file17549,953838363
file17552,1412620481
file17553,1054992656
file17556,783496880
file17554,2098007064
file17555,798826565
file17557,1299452948
file17558,776931544
file17559,1230037452
file17561,1091459209
file17560,807404003
file17563,1252818245
file17566,886059689
file17565,896722496
file17567,1288772160
file17571,953295693
file17572,1137392931
file17568,961385869
file17573,856842683
file17574,811662614
file17562,753031748
file17569,1069322562
file17575,862587081
file17577,1155037125
file17535,1501467760
file17578,2372958740
file17579,1668174429
file17582,1631060961
file17584,767191767
file17547,2139947766
file17580,833577965
file17583,995884812
file17576,3305742845
file17539,2326647100
file17588,902808435
file17590,1188349975
file17598,1135133596
file17585,890901572
file17599,708729935
file17594,921980433
file17595,693085953
file17587,809967629
file17597,717692409
file17591,1200395924
file17593,818684430
file17586,718735440
file17596,845023028
file17600,967240891
file17589,990070981
file17592,1302805857
file17564,4186113806
file17527,6272064873
file17570,9172057486
file17534,9380925833
file20514,748236969
file20489,768672818
file20484,797839901
file20492,778842857
file20491,909742797
file20487,824174760
file20493,797619101
file20494,920694408
file20481,929775176
file20488,902731190
file20496,798309596
file20498,984937796
file20483,983533010
file20499,810189935
file20497,834520943
file20500,755809846
file20482,983975876
file20503,803724811
file20501,846253667
file20504,780004047
file20505,1143086160
file20509,1169616659
file20507,967454830
file20490,1245616525
file20510,796547442
file20502,1258613449
file20513,848878480
file20511,749325300
file20485,1444259328
file20512,950961045
file20516,806251836
file20518,1537208090
file20517,835089170
file20523,1100225980
file20524,905483361
file20520,927591249
file20526,882278508
file20522,879127440
file20527,779462585
file20528,1130195906
file20529,774823796
file20530,833645129
file20532,896356668
file20533,1163968909
file20535,803240479
file20537,735444264
file20536,1161151615
file20534,1443590855
file20508,1871809815
file20519,1990865589
file20539,1010429270
file20538,1476981039
file20525,2783901575
file20541,805294541
file20543,1664459476
file20495,2108110276
file20540,1639793239
file20506,3178245488
file20542,3710734813
file20486,3197035741
file20521,2850483896
file20549,730529819
file20545,682591037
file20552,690430959
file20547,821489563
file20550,869476127
file20548,751048301
file20556,684788572
file20551,670773559
file20557,933404623
file20560,764023688
file20553,1180314432
file20559,740334795
file20555,973311070
file20544,3554088875
file20558,771986642
file20531,4314683858
file20554,1606701482
file20546,2390620345
file20515,5549869582
file22494,788234080
file22502,777176690
file22481,824517789
file22488,842998218
file22482,889938377
file22485,855434392
file22486,881401077
file22489,926492495
file22487,846275552
file22490,826509079
file22484,988760440
file22495,902745066
file22496,896612881
file22491,839369314
file22497,824993514
file22493,846984027
file22483,1122792834
file22501,875752849
file22498,950046388
file22504,784226408
file22499,922485802
file22506,834791675
file22503,1190786180
file22505,813125031
file22511,1211226385
file22510,816425723
file22512,944100101
file22513,782231390
file22515,816385723
file22516,1313119590
file22517,976314617
file22514,940877606
file22509,830024645
file22518,1012989111
file22520,791468924
file22521,994987536
file22519,826919090
file22522,771713745
file22524,804884526
file22523,809193107
file22508,1329428227
file22528,918429931
file22525,807576903
file22529,848474565
file22533,982407280
file22536,1016859613
file22537,920744227
file22530,1042771889
file22538,951629885
file22531,836863777
file22535,765473918
file22507,1139213901
file22541,763367821
file22542,1599879888
file22543,896867413
file22534,933126274
file22544,856093389
file22540,769998869
file22532,1438307574
file22539,1439057844
file22500,2398533673
file22554,762002793
file22548,780161503
file22549,833009455
file22556,725193383
file22552,982184543
file22558,759577321
file22551,1373231690
file22492,3634651589
file22559,766213343
file22550,1401817217
file22545,708790227
file22557,724090893
file22526,4743350215
file22560,1306184403
file22546,4647771219
file22547,4863147594
file22553,6175938438
file22527,13285367233
file22555,14708602550
file25254,721745049
file25209,786322957
file25205,808192223
file25204,814078471
file25208,808811575
file25213,891990045
file25211,741491738
file25210,817475712
file25214,758575060
file25203,1052440438
file25215,970099517
file25212,888749850
file25217,953339606
file25218,754166807
file25219,1431369692
file25224,748567492
file25222,887131324
file25207,1125856552
file25216,1190106942
file25201,1050760004
file25223,1007855787
file25225,845064043
file25221,1123312442
file25229,973224105
file25228,886526235
file25231,741381181
file25230,846553128
file25233,977106555
file25232,795014794
file25234,804005407
file25235,871793504
file25236,944118705
file25243,1402794102
file25238,1051717110
file25242,760803930
file25206,1418633699
file25241,901768053
file25226,1666326423
file25248,789173162
file25244,930714016
file25246,1005182713
file25247,877988429
file25249,1356345642
file25250,786939254
file25251,1137840885
file25255,848115491
file25256,914122022
file25245,2311142110
file25253,986224919
file25258,771136577
file25252,854291310
file25260,760869889
file25259,800603897
file25257,857234091
file25261,793595358
file25262,904371960
file25239,2123100231
file25263,1715397699
file25264,830263656
file25227,2221366583
file25220,2981123895
file25265,688236678
file25269,685456347
file25268,928297672
file25271,813634602
file25273,890166987
file25279,720976203
file25272,1104837274
file25278,753949914
file25277,714482333
file25280,818551766
file25240,4468103269
file25274,691993360
file25270,900715860
file25267,1008375882
file25202,6506180794
file25237,7781408642
file25266,5598999115
file25275,8723586972
file25276,9256968363
file27856,794411920
file27844,818896257
file27841,795645014
file27849,817645313
file27843,870382393
file27851,950118188
file27852,770088177
file27850,817099873
file27855,904430264
file27861,901702620
file27845,862279235
file27865,893296565
file27857,1029879494
file27860,867836562
file27842,1246764619
file27863,882318841
file27868,798396418
file27853,959728580
file27869,875960222
file27859,1087390471
file27847,1022578899
file27864,976750140
file27874,811888734
file27880,994926841
file27877,801246145
file27875,799288505
file27870,1335648810
file27866,1043757417
file27876,1237279570
file27854,1268676665
file27881,879114801
file27884,813185976
file27882,941786291
file27883,1041806716
file27886,984610867
file27867,1316156951
file27887,799681176
file27873,1872346339
file27888,920550336
file27889,832508308
file27878,1708551304
file27848,1651621307
file27890,983179488
file27894,1154167314
file27892,1262018924
file27891,933353643
file27893,826214302
file27895,878700244
file27879,2174093604
file27896,937161491
file27899,799405779
file27900,934930397
file27904,841679240
file27901,1251735187
file27897,856800289
file27902,830645601
file27898,757918115
file27903,820424221
file27872,2248949423
file27910,737189496
file27908,981837302
file27906,704614633
file27911,677707215
file27915,793846029
file27913,784462251
file27871,3616326745
file27905,1939661685
file27914,910009599
file27918,742540141
file27909,917850762
file27912,1115101261
file27917,899030401
file27919,753389796
file27907,1066649542
file27916,1390077994
file27846,4859338471
file27885,7057469052
file27862,13923640009
file27920,19592436487
file27858,50198592371
file3001,844102783
file3206,797475982
file3096,825201876
file3044,846608163
file3212,824125440
file3059,857803106
file3002,923399594
file3218,799104409
file3019,855988109
file3148,822140451
file3222,898306603
file3210,844943560
file2967,867061677
file3074,879260174
file3065,883466302
file3049,858403910
file3158,778559680
file3043,1116609290
file3219,886203147
file2966,865969413
file3050,912125852
file3209,835933254
file2972,943630631
file3073,897370651
file3204,956103912
file3202,845615389
file3128,870617808
file3058,876313703
file3076,862090837
file2979,861356192
file3121,818057191
file3225,822172603
file3133,820412882
file3217,897849490
file2982,906164476
file3136,814005581
file3131,871721242
file3048,905436445
file3211,902553753
file3207,810961394
file3072,910905687
file2976,1014055450
file3077,848774954
file3213,913104975
file3129,892523559
file3228,806077531
file3135,925686898
file3229,793370965
file2983,892632307
file3230,833322127
file3233,802437948
file3236,874628000
file3000,912387375
file3205,897303206
file3140,836800719
file3057,925304654
file3237,910398778
file3055,888245007
file3238,892878341
file3045,932461140
file3142,800031199
file3241,861992647
file3221,984210136
file2998,915416058
file3139,883386909
file3130,951590278
file3220,1093370968
file3243,852746670
file3244,840728029
file3245,1027979065
file3248,911070854
file3063,928312788
file3138,875269344
file3249,844234276
file2969,942929443
file3251,956400952
file3252,744396554
file3253,896340271
file3066,915425894
file2961,1077028371
file2964,947973579
file3041,935633764
file3256,823765489
file3151,931409661
file3157,922995906
file3155,784235354
file2977,960576969
file3147,834815244
file3242,1624161319
file3056,1006843526
file2971,1029245646
file3150,950373525
file3254,859839700
file3262,780623455
file3260,799892442
file3070,983834635
file3259,948762147
file2985,933342461
file3215,831352396
file3258,805644506
file2974,941919158
file2962,950051136
file3160,841564664
file3060,958556701
file3075,981980299
file2970,936994713
file3263,823262265
file3161,852607729
file2986,923903362
file3067,946411870
file3061,956504154
file3214,1016598325
file3078,978077594
file2980,1011976475
file3255,1007376752
file3124,1142534935
file3247,860998919
file2981,1012624184
file3053,1053050892
file3069,1109789637
file3125,966959932
file3257,1078193342
file3062,987982065
file3126,1153913535
file2984,1192857084
file3080,863198415
file3239,1336555001
file3250,901547088
file3144,1069408514
file3083,979660882
file3137,1072991306
file3127,1079727544
file3082,978372513
file2973,1082273540
file3085,1027149997
file2989,1026568755
file3162,1734126661
file3203,1300968373
file3146,1022245524
file3123,1249361002
file3071,1093782422
file3088,954160266
file3141,1178499291
file3086,860878035
file2992,1014351064
file3163,831407498
file3093,859143855
file2996,989968637
file2995,921387427
file3240,863516745
file3091,1028634051
file3166,1411140580
file3169,795251414
file2968,1207870726
file3054,1482127732
file3098,863024411
file3153,1132480071
file3099,1051476430
file2993,1239415348
file3168,828965998
file3097,837238760
file2991,1546652012
file3152,1356024528
file3100,833643509
file2999,1060527825
file3154,1255969926
file3145,1567549300
file3047,1495243112
file3003,925710399
file3165,1373122265
file3170,1046736010
file3101,1092286009
file2963,1526519193
file3042,1746313690
file3173,805931037
file3172,845167671
file3171,854265589
file3103,908164234
file3149,1536440292
file3004,930072870
file3102,1042773502
file3143,1610315210
file3174,874788885
file2978,1787818278
file3226,1313261624
file3175,822443183
file3104,897485953
file3176,888055129
file3177,1309702359
file3178,1016252924
file3006,1018348354
file3181,1099344324
file3179,961574495
file3180,1357279446
file3182,1220694075
file3216,1464735966
file3184,811362584
file3183,913063124
file3007,872095182
file3068,1471047696
file3008,981048301
file3087,1408251333
file3009,986574556
file3159,1893686941
file3046,1485513549
file3011,1472971776
file3012,904851226
file2965,2875758357
file3013,919398871
file3208,1388457284
file3064,1629445274
file2988,2000748213
file3052,2235585076
file3014,983581685
file3015,948151532
file3005,1627356722
file3017,1138832819
file3018,1757515645
file2990,1962482542
file3094,1959223482
file3016,905328073
file3223,1119319419
file3020,1782039393
file3021,1043625308
file3022,882915292
file3234,981851767
file2997,2298863314
file3023,1514636344
file3024,925199469
file3010,2432089957
file3201,1381073692
file3224,1215766651
file3227,2070245084
file3231,1995464301
file3261,1822525272
file3232,3121929814
file3246,2210222774
file3264,1621172031
file3134,3105344807
file3269,738419732
file3081,1912950572
file3268,853277222
file3122,2750366678
file3090,2523484529
file3270,688008173
file3156,3004463119
file3276,700099930
file3186,729136269
file3272,737001545
file3267,817580726
file3278,692941424
file2975,4539931906
file3112,684387275
file3277,676435728
file3034,729779018
file3036,670021317
file3033,676573909
file2987,3849658766
file3235,3550245310
file3132,3191432277
file3279,931862475
file3274,1273470406
file3187,838943101
file3190,810303308
file3040,762850587
file3106,667309513
file3108,782778444
file3185,777979130
file3030,845736028
file3027,814469881
file3167,5141110849
file3192,930445226
file3200,839300302
file3191,692119890
file3037,683565472
file3031,747229625
file3266,1474625388
file3273,723753047
file3193,795078134
file3028,833799887
file3195,693575076
file3095,2714878098
file3035,780474419
file3025,1561284853
file3039,1035031098
file3188,1418026181
file3038,728034924
file3032,1010489092
file3107,799837245
file3197,670210817
file3110,861507709
file3117,855547390
file3189,1494487163
file3119,719580088
file3194,1044841337
file3198,1103083662
file3199,1362061207
file3280,2329251354
file2994,5027668688
file3265,1586026624
file3109,1184989692
file3114,709629049
file3196,1472970371
file3275,1340948271
file3271,2747808701
file3113,858404385
file3115,1158324847
file3120,1809983130
file3111,1224284738
file3118,1242987691
file3051,3606042262
file3089,7230123482
file3084,18834471035
file3164,16569489756
file3092,15005643085
file3029,17829508355
file3116,15497244990
file5784,919816449
file5775,758157603
file5780,787527346
file5774,752122866
file5787,809802882
file5773,817382709
file5761,804455698
file3079,28626478548
file5781,694403553
file5786,716519123
file5782,763009216
file5771,1118963478
file5785,769179355
file5797,666672146
file5764,820259756
file5769,1350197934
file5777,1021211942
file5766,775203857
file5765,740550545
file5763,837985433
file5791,688478350
file5790,732113017
file5767,668685013
file5792,853783896
file5793,765985784
file5779,1140231726
file5802,709972974
file5808,893841521
file5800,1011722283
file5809,1505170409
file5778,717997837
file5783,678093558
file5816,697971689
file5772,1590876519
file5770,784208536
file5799,711450722
file5807,766463904
file5801,1011060128
file5806,820435554
file5804,879115060
file5789,1249839026
file5814,989101355
file5817,1413226943
file5810,698716092
file5805,792983597
file5813,811784850
file5803,2240025241
file5819,751770225
file5820,674187832
file5815,693555336
file5812,672528008
file5822,811733287
file5828,1178459288
